"","Country","Population_Sum","Land","55-59","60-64","65-69","70-74","75+"
"1","Austria",2639822,805,398300,602600,633100,357700,130700
"2","Belgium",1766735,522.18,337800,274500,284400,241300,33500
"3","Bulgaria",2684996,1266,683200,890400,399700,64300,5000
"4","Croatia",1209118,940,145700,95600,58600,18400,1300
"5","Czech Republic",2780456,1968,830400,495300,287500,145500,9000
"6","Denmark",1753248,630.27,495900,303300,205200,54400,4600
"7","Estonia",532958,198,83500,114000,80300,19800,900
"8","Finland",2130948,11418,274800,143700,50300,13500,200
"9","France",9360200,3202.55,2646100,2096000,1641100,442800,27100
"10","Germany",24417288,12289,2372900,1642300,1183500,466900,51500
"11","Hungary",3189345,3046,508200,439900,371100,224800,63100
"12","Iceland",267850,1196,33300,16100,5300,1400,100
"13","Ireland",1499800,1122,320700,147200,158600,55400,4500
"14","Italy",13694275,8809.99,2461500,2901300,2139800,900700,126100
"15","Latvia",641007,304,133900,188900,143900,54400,5000
"16","Lithuania",1126250,737,264500,265700,172200,40500,5700
"17","Luxembourg",153410,135.65,40600,39400,41400,20700,2600
"18","Malta",277600,54.125,23200,14600,21600,6700,1100
"19","Montenegro",185937,1441,34400,61300,31300,5500,0
"20","Netherlands",8259054,5005.72,1500900,1175000,570200,49796,581
"21","Norway",1524209,2478.36,289300,200500,141700,60200,5800
"22","Poland",10009194,5375.21,1944600,1447200,746200,239300,29200
"23","Portugal",1452607,284.32,194900,161500,120400,45600,9600
"24","Romania",5915100,120840,1076600,828600,583400,230800,33300
"25","Slovakia",493734,444.42,112600,97100,57200,18700,9000
"26","Slovenia",380900,422.47,73600,69500,48500,11000,200
"27","Spain",8281377,2624.08,1709000,1601200,893200,280800,37000
"28","Sweden",3367282,14938.34,620500,394100,187700,40200,3100
"29","Switzerland",4240021,5873.6,1087300,778400,516300,171100,23400
"30","United Kingdom",35713025,7830.97,4600900,1993900,1592500,1213100,158600
