"","Country","Total Population","Measured Population","Area","55-59","60-64","65-69","70-74","75+","55-59 %","60-64 %","65-69 %","70-74 %","75+ %","Exposed to any noise % of total population"
"1","Austria",8797566,2639822,805,398300,602600,633100,357700,130700,15.0881385184304,22.8272966889434,23.9826776199304,13.5501560332477,4.95109139934435,24.124854533629
"2","Belgium",11375158,1766735,522.18,337800,274500,284400,241300,33500,19.1200151692246,15.5371348844054,16.097490568761,13.6579622863644,1.89615307332452,10.2987580480201
"3","Bulgaria",7075947,2684996,1266,683200,890400,399700,64300,5000,25.4451030839525,33.1620605766266,14.8864281362058,2.3947894149563,0.186220016715109,28.8668075100054
"4","Croatia",4124531,1209118,940,145700,95600,58600,18400,1300,12.0501059449946,7.90658976212413,4.84650795042337,1.52177041446741,0.107516387978675,7.74875979838677
"5","Denmark",5764980,1753248,630.27,495900,303300,205200,54400,4600,28.2846465531402,17.2993210315939,11.7039916771615,3.10281260837029,0.262370183796017,18.4458575745276
"6","Estonia",1317384,532958,198,83500,114000,80300,19800,900,15.6672758453762,21.3900532499747,15.0668532980085,3.71511451183771,0.168868841447168,22.6585414731012
"7","Finland",5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,8.75964514087506
"8","France",66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,10.2410382136232
"9","Germany",82657002,24417288,12289,2372900,1642300,1183500,466900,51500,9.71811447692307,6.72597218822991,4.84697563464051,1.91216977086071,0.210916134502734,6.91665540930217
"10","Hungary",9787966,3189345,3046,508200,439900,371100,224800,63100,15.9343062603763,13.7928007161345,11.6356179717152,7.04846919978867,1.9784626623962,16.4191416275864
"11","Iceland",343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,16.3657542224811
"12","Ireland",4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,14.2780237417908
"13","Italy",60536709,13694275,8809.99,2461500,2901300,2139800,900700,126100,17.9746645952414,21.1862256307837,15.6255077395481,6.57720105664593,0.920822752573612,14.0896327879337
"14","Latvia",1942248,641007,304,133900,188900,143900,54400,5000,20.8890074523367,29.4692569659926,22.449052818456,8.4866467916887,0.780022683059623,27.0871690947809
"15","Lithuania",2828403,1126250,737,264500,265700,172200,40500,5700,23.4850166481687,23.5915649278579,15.2896781354051,3.59600443951165,0.506104328523862,26.4672325690504
"16","Luxembourg",596336,153410,135.65,40600,39400,41400,20700,2600,26.4650283553875,25.6828107685288,26.9865067466267,13.4932533733133,1.69480477152728,24.2648439805747
"17","Malta",467999,277600,54.125,23200,14600,21600,6700,1100,8.35734870317003,5.25936599423631,7.78097982708934,2.4135446685879,0.396253602305476,14.3590050406091
"18","Montenegro",622373,185937,1441,34400,61300,31300,5500,0,18.5008900864271,32.9681558807553,16.8336587123596,2.95799114753922,0,21.2894839589764
"19","Netherlands",17131296,8259054,5005.72,1500900,1175000,570200,49796,581,18.1727834689058,14.2268109640644,6.90393839294428,0.602926194694937,0.00703470397457142,19.2424262589357
"20","Norway",5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,13.2178175042941
"21","Poland",37974826,10009194,5375.21,1944600,1447200,746200,239300,29200,19.4281377701341,14.4587066650921,7.45514573900756,2.39080189673614,0.291731781799813,11.6037398038374
"22","Portugal",10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,5.16489810976379
"23","Romania",19588715,5915100,120840,1076600,828600,583400,230800,33300,18.2008757248398,14.0082162600801,9.86289327314838,3.90187824381667,0.562965968453619,14.0524786847938
"24","Slovenia",2066388,380900,422.47,73600,69500,48500,11000,200,19.322656865319,18.2462588605933,12.7330007876083,2.8878970858493,0.0525072197427146,9.81422656345275
"25","Spain",46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,9.70355439574963
"26","Sweden",10057698,3367282,14938.34,620500,394100,187700,40200,3100,18.4273250651416,11.7038014636137,5.57422871027731,1.19384120486493,0.0920623814696839,12.3845436599906
"27","Switzerland",8451840,4240021,5873.6,1087300,778400,516300,171100,23400,25.6437409154341,18.3583996400018,12.176826482699,4.03535737205075,0.551884059064802,30.4844862183856
"28","United Kingdom",66058859,35713025,7830.97,4600900,1993900,1592500,1213100,158600,12.8829747690093,5.58311708403307,4.45915740825651,3.39679990703672,0.444095676577383,14.4704285612926
